Experimento,N,Algoritmo,Tiempo_Promedio_s,Desviacion_Estandar
Denso,8,Base (Bellman-Ford),0.00017905796877215607,1.1882958006141602e-05
Denso,8,Floyd-Warshall,6.655434375346658e-05,7.337579020212758e-05
Denso,12,Base (Bellman-Ford),0.0009709389374776833,7.4749862450574e-05
Denso,12,Floyd-Warshall,0.00015345668749944252,3.158640150824186e-05
Denso,16,Base (Bellman-Ford),0.0033840235624680304,0.00035864089963708225
Denso,16,Floyd-Warshall,0.0003514024062383214,2.8808084983436378e-05
Disperso,8,Base (Bellman-Ford),1.4671656245468512e-05,2.5621629231132137e-06
Disperso,8,Floyd-Warshall,1.9067062495992104e-05,9.979373079386348e-07
Disperso,12,Base (Bellman-Ford),5.588184374261118e-05,5.395385642019615e-06
Disperso,12,Floyd-Warshall,5.64513750163087e-05,4.791488551902841e-06
Disperso,16,Base (Bellman-Ford),8.798228127915309e-05,3.219655289475381e-06
Disperso,16,Floyd-Warshall,0.0001135949687665061,4.3537472829449564e-06
Cadena,8,Base (Bellman-Ford),3.690021875968341e-05,3.590069070057041e-05
Cadena,8,Floyd-Warshall,2.6454812498855063e-05,3.0987846779535678e-06
Cadena,12,Base (Bellman-Ford),8.140381251564577e-05,6.702381481603882e-06
Cadena,12,Floyd-Warshall,8.06485937161483e-05,7.215665744919861e-06
Cadena,16,Base (Bellman-Ford),0.00018705603121560443,6.213206922518973e-06
Cadena,16,Floyd-Warshall,0.0001734616562600877,3.875866706575783e-05
Negativo,8,Base (Bellman-Ford),3.1642375027729486e-05,2.581580552489899e-06
Negativo,8,Floyd-Warshall,2.1644656229113934e-05,7.641923420037739e-07
Negativo,12,Base (Bellman-Ford),0.0001960260937536873,8.796416034014432e-06
Negativo,12,Floyd-Warshall,7.98651250093485e-05,3.031927560426952e-06
Negativo,16,Base (Bellman-Ford),0.0006487257187259843,0.00010156000033386401
Negativo,16,Floyd-Warshall,0.0002194660312611063,6.533632076992577e-06
